State	Award
AK	471,014
AK	520,579
AK	449,592
AK	641,184
AK	399,686
AK	697,703
AK	427,658
AL	110,544
AL	12,973
AL	199,828
AL	165,903
AL	121,657
AL	914,557
AL	198,953
AL	118,394
AL	143,238
AL	151,116
AL	163,619
AR	665,000
AR	198,728
AR	991,451
AR	990,135
AR	197,012
AR	695,000
AR	198,783
AZ	847,003
AZ	381,512
AZ	915,959
AZ	812,195
AZ	928,654
AZ	818,238
AZ	634,503
AZ	836,556
AZ	880,050
AZ	728,696
AZ	696,668
AZ	826,589
AZ	204,246
AZ	760,314
AZ	558,022
AZ	696,520
AZ	565,322
AZ	599,344
AZ	490,954
CA	174,245
CA	181,152
CA	162,698
CA	997,852
CA	2
CA	743,444
CA	179,933
CA	530,980
CA	188,694
CA	2
CA	1,795
CA	121,793
CA	181,577
CA	189,201
CA	148,577
CA	148,665
CA	12,252
CA	175,737
CA	559,268
CA	135,806
CA	197,223
CA	913,211
CA	102,906
CA	1,177
CA	159,471
CA	180,738
CA	925,749
CA	173,752
CA	577,030
CA	102,743
CA	185,886
CA	142,575
CA	171,031
CA	128,129
CA	201,467
CA	167,368
CA	2
CA	157,616
CA	158,151
CA	1,695
CA	584,002
CA	135,806
CA	181,152
CA	629,711
CA	116,423
CA	184,555
CA	126,595
CA	158,712
CA	152,096
CA	197,223
CA	187,692
CA	2
CA	17,325
CA	630,428
CA	140,557
CA	180,068
CA	194,293
CA	173,426
CA	126,036
CA	49,045
CA	148,146
CA	122,138
CA	133,333
CA	174,824
CA	155,171
CA	17,292
CA	144,166
CA	189,832
CA	197,223
CA	179,529
CA	126,595
CA	19
CA	806,917
CA	184,271
CA	197,223
CA	189,229
CA	179,747
CA	105,245
CA	631,759
CA	163,043
CA	189,181
CA	140,097
CA	141,497
CA	233,414
CA	443,230
CA	125,599
CA	105,585
CA	388,816
CA	108,247
CA	50,000
CA	187,562
CA	481,154
CO	924,081
CO	539,797
CO	674,025
CO	852,911
CO	100,778
CO	619,609
CO	641,451
CO	622,865
CO	821,295
CO	13,729
CO	671,148
CO	728,445
CO	606,822
CO	31,935
CO	32,491
CO	374,767
CO	481,016
CO	595,238
CO	825,829
CT	430,568
CT	500,000
CT	590,000
CT	400,000
CT	400,000
CT	700,000
CT	430,569
CT	800,000
CT	700,000
CT	590,000
CT	400,000
CT	700,000
CT	700,000
CT	700,000
DC	517,340
DC	445,400
DC	517,340
DC	330,050
DC	619,950
DC	189,350
DC	552,658
DC	180,700
DC	541,226
DC	305,325
DE	630,295
DE	672,921
FL	394,739
FL	733,198
FL	115,447
FL	660,025
FL	737,977
FL	759,293
FL	816,787
FL	652,558
FL	713,746
FL	759,293
FL	728,868
FL	845,263
FL	734,298
FL	759,293
FL	500,000
FL	500,000
FL	258,108
FL	737,052
FL	711,587
FL	666,136
FL	108,015
FL	660,025
FL	617,334
FL	737,977
FL	618,351
FL	515,138
FL	713,746
FL	759,293
FL	736,088
FL	440,823
FL	647,552
FL	500,000
FL	500,000
FL	267,620
FL	737,052
FL	636,816
FL	10,496
FL	276,644
FL	698,427
FL	652,965
FL	796,553
FL	567,148
FL	759,293
FL	784,700
FL	651,787
FL	627,776
FL	676,989
FL	500,000
FL	407,497
FL	759,293
FL	713,451
FL	759,293
FL	251,911
FL	759,293
FL	644,329
FL	660,025
FL	344,819
FL	518,789
FL	652,792
FL	742,472
FL	713,746
FL	697,645
FL	997,322
FL	628,602
FL	635,832
FL	500,000
FL	500,000
FL	369,914
FL	759,293
FL	633,527
FL	506,738
GA	115,158
GA	955,121
GA	115,976
GA	11,667
GA	185,136
GA	144,427
GA	942,738
GA	107,896
GA	788,579
GA	146,453
GA	139,306
GA	122,676
GA	147,015
GA	119,812
GA	102,187
GA	101,486
GA	164,154
GA	868,746
GA	105,401
GA	125,013
GA	688,641
GA	112,362
GA	902,342
GA	663,957
GA	140,653
GA	876,027
IA	18
IA	2
IA	18
IA	761,197
ID	209,893
ID	286,787
IL	170,473
IL	122,159
IL	195,114
IL	11,848
IL	198,187
IL	170,473
IL	793,604
IL	185,042
IL	170,473
IL	179,737
IN	113,677
IN	199,941
IN	198,496
IN	735,737
IN	191,676
IN	552,282
IN	199,958
KS	108,003
KS	197,018
KS	764,280
KS	180,378
KS	18,984
KS	1,997
KY	429,176
KY	588,932
KY	433,993
KY	437,283
KY	559,459
KY	498,795
KY	437,283
KY	395,523
KY	808,211
KY	437,283
MA	748,937
MA	927,362
MA	427,239
MA	110,786
MA	863,413
MA	420,721
MA	586,623
MA	918,500
MA	743,593
MA	767,986
MA	518,312
MA	407,794
MD	773,922
MD	956,457
MD	465,091
MD	773,922
MD	128,848
MD	177,759
MD	831,888
MD	120,707
MD	928,355
MD	773,922
MD	102,706
MI	148,488
MI	679,699
MI	121,632
MI	171,133
MI	171,133
MI	273,500
MI	122,853
MI	164,933
MI	751,945
MI	948,838
MI	190,709
MI	894,861
MI	416,177
MI	135,109
MI	199,852
MI	602,552
MI	16,228
MI	704,180
MI	190,709
MI	447,461
MI	774,100
MI	121,554
MI	196,658
MI	815,637
MI	552,326
MI	144,344
MI	811,102
MI	125,917
MN	528,276
MN	878,276
MN	529,518
MN	600,000
MN	850,000
MN	528,276
MN	700,000
MN	850,000
MN	561,111
MN	403,276
MN	500,000
MN	658,042
MN	561,543
MN	528,276
MN	728,276
MN	500,237
MN	700,000
MN	556,636
MN	471,654
MO	425,300
MO	356,608
MO	806,900
MO	380,419
MO	172,251
MO	363,928
MO	379,564
MO	199,415
MO	250,120
MO	377,942
MO	364,226
MO	436,579
MO	10,302
MO	444,175
MO	533,168
MO	512,669
MO	912,903
MO	806,900
MO	399,827
MO	169,925
MO	441,804
MO	407,822
MO	353,737
MO	256,538
MO	402,089
MO	806,900
MO	382,436
MO	46,872
MO	340,193
MO	307,826
MO	199,415
MO	966,394
MS	175
MS	12,061
MS	174,731
MS	125
MS	129,091
MS	175
MS	790,586
MS	143,209
MT	380,711
MT	134,368
MT	799,203
MT	380,711
MT	137,653
MT	129,044
NC	504,908
NC	316,901
NC	1,726
NC	946,400
NC	879,391
NC	954,735
NC	11,651
NC	903,372
NC	728,000
NC	109,594
NC	766,415
NC	883,395
NC	962,048
NC	665,360
NC	421,116
NC	618,800
NC	11,709
NC	100,491
NC	
NC	816,000
NC	730,689
NC	693,605
NC	630,752
NC	870,080
ND	418,574
NE	510,953
NE	429,450
NE	474,603
NE	724,045
NE	465,550
NE	542,500
NE	930,978
NH	344,358
NH	421,278
NH	346,179
NH	337,678
NH	444,472
NH	344,358
NH	423,281
NJ	526,481
NJ	166,069
NJ	17,529
NJ	108,077
NJ	179,302
NJ	199,968
NJ	111,495
NJ	159,639
NJ	136,924
NJ	199,315
NJ	160,469
NJ	193,035
NM	975,000
NM	15
NM	11
NM	2
NM	2
NM	125
NM	15
NM	500,000
NM	500,000
NV	424,326
NV	100,202
NV	494,913
NV	763,905
NV	505,777
NV	477,071
NV	427,337
NV	576,840
NV	654,043
NV	567,154
NY	2
NY	136,581
NY	18
NY	2
NY	178,685
NY	850,510
NY	2
NY	2
NY	18
NY	130,051
NY	2
NY	122,114
NY	959,246
NY	137,761
NY	188,422
NY	18
NY	994,888
NY	2
NY	757,113
NY	19,525
NY	2
NY	117,372
NY	185,579
NY	890,934
NY	2
OH	723,790
OH	246,750
OH	805,793
OH	725,800
OH	350,537
OH	691,110
OH	948,140
OH	2
OH	104,115
OH	949,658
OH	1,657
OH	109,111
OH	350,537
OH	109,111
OH	825,100
OH	797,726
OH	712,097
OH	108,635
OH	451,750
OH	175,685
OH	451,750
OH	774,900
OH	109,111
OH	1,264
OH	100,268
OH	584,250
OH	500,000
OH	913,139
OH	723,790
OH	350,537
OH	109,111
OH	1,036
OH	451,750
OH	14,775
OH	994,001
OK	158,356
OK	113,967
OK	152,716
OK	117,124
OK	858,523
OK	973,201
OK	103,708
OK	11,395
OK	107,752
OK	173,743
OR	766,667
OR	11,704
OR	950,000
OR	617,966
OR	19,015
OR	766,667
OR	118,595
OR	616,667
OR	119,072
OR	441,740
OR	747,268
OR	616,667
PA	737,032
PA	699,963
PA	786,964
PA	319,320
PA	283,200
PA	500,000
PA	390,938
PA	338,726
PA	280,500
PA	686,000
PA	798,792
PA	848,867
PA	208,773
PA	641,440
PA	551,611
PA	312,714
PA	250,000
PA	923,999
PA	362,773
PA	626,150
PA	350,000
PA	671,142
PA	980,283
PA	958,375
PA	318,875
PA	792,001
PA	112
PA	542,588
PA	466,665
PA	300,000
PA	333,327
PA	974,132
PA	500,000
PA	247,020
PA	244,855
PA	287,500
PA	650,000
PA	579,958
PA	272,245
PA	267,754
PA	1
PA	616,432
PA	606,437
PA	888,708
PA	523,313
PA	658,247
PA	907,129
PA	350,000
PA	392,068
PA	794,021
PA	286,500
PA	305,763
PA	508,486
PA	109,958
PA	234,233
PA	14
PA	320,412
PA	531,891
SC	573,338
SC	908,486
SC	571,626
SC	639,839
SC	717,125
SC	502,925
SC	672,451
SC	571,626
SC	254,323
SC	698,507
SC	503,608
SC	756,937
SC	449,430
SC	126,267
SC	579,145
SC	905,959
SC	712,019
SC	411,971
SC	717,125
SD	168,131
SD	362,759
TN	267,249
TN	274,487
TN	629,999
TN	306,934
TN	248,250
TN	620,296
TN	376,370
TN	269,863
TN	736,026
TN	103,092
TN	259,513
TN	905,629
UT	549,444
UT	278,779
UT	549,444
UT	806,790
UT	549,444
UT	806,790
UT	710,934
VA	501,500
VA	135,251
VA	500,000
VA	2
VA	580,100
VA	499,586
VA	685,661
VA	946,198
VA	859,600
VA	460,723
VA	50,000
VA	571,500
VA	400,000
VA	613,340
VA	135,542
VA	50,000
VA	490,820
VA	529,167
VT	230,110
VT	215,600
VT	368,200
VT	242,458
VT	166,477
VT	380,045
VT	192,559
VT	257,889
VT	382,364
VT	314,781
WA	152,512
WA	162,541
WA	734,480
WA	730,000
WA	116,293
WA	533,531
WA	109,526
WA	1,055
WA	178,996
WA	100,573
WA	452,925
WA	515,546
WA	945,312
WA	138,656
WA	95,320
WA	756,677
WA	730,000
WA	115,268
WI	5,000
WI	5,000
WI	650,093
WI	749,320
WI	928,024
WI	134,909
WI	5,000
WI	124,643
WI	567,905
WI	5,000
WI	1,202
WV	258,600
WV	481,900
WV	464,200
WV	450,000
WV	156,660
WV	217,598
WV	461,690
WV	370,000
WV	241,211
WV	314,618
WV	389,906
WV	341,250
WV	211,271
WV	342,189
WV	260,000
WY	297,300
WY	274,000
WY	431,382
